open,currentAccountsPayable,researchAndDevelopment,volume,propertyPlantEquipment,otherNonCurrentAssets,nonInterestIncome,dividendPayout,depreciationDepletionAndAmortization,ebitda,comprehensiveIncomeNetOfTax,depreciationAndAmortization,longTermDebtNoncurrent,totalRevenue,otherNonOperatingIncome,company,date,close
299.33,886000000,21851000,15769300,1032000000.0,495000000,6737000000.0,257000000,156000000,91817000,2391000000,6785000,5952000000.0,235992000.0,27000000,ISRG,9/30/2008,240.98
129.46,886000000,20891000,19664300,1032000000.0,495000000,6737000000.0,257000000,156000000,90242000,2391000000,7505000,5952000000.0,231526000.0,27000000,ISRG,12/31/2008,126.99
89.42,886000000,21300000,30881200,1032000000.0,495000000,6737000000.0,257000000,156000000,53023000,2391000000,7997000,5952000000.0,188400000.0,27000000,ISRG,3/31/2009,95.36
151.99,886000000,23400000,22957800,122584000.0,495000000,6737000000.0,257000000,8949000,99540000,62388000,8949000,5952000000.0,260600000.0,5171000,ISRG,6/30/2009,163.66
221.15,24968000,24600000,15602000,122865000.0,495000000,6737000000.0,257000000,8898000,99291000,64524000,-5209000,5952000000.0,280100000.0,4362000,ISRG,9/30/2009,262.25
282.0,27600000,25800000,8950500,125700000.0,495000000,6737000000.0,150000000,8679000,132281000,81746000,3881000,5952000000.0,323100000.0,4231000,ISRG,12/31/2009,303.43
349.98,34400000,28000000,9721600,132900000.0,495000000,2700000.0,150000000,9500000,133600000,85300000,3900000,5952000000.0,328600000.0,4100000,ISRG,3/31/2010,348.13
330.5,41600000,28500000,10312500,144400000.0,495000000,2200000.0,150000000,9800000,143700000,175900000,4000000,5952000000.0,350700000.0,4500000,ISRG,6/30/2010,315.62
271.21,35700000,26900000,11987600,156600000.0,495000000,2900000.0,150000000,10300000,136400000,173200000,4300000,5952000000.0,344400000.0,5000000,ISRG,9/30/2010,283.74
261.44,35600000,32600000,10534200,159800000.0,495000000,-700000.0,150000000,10800000,158200000,-138500000,4500000,5952000000.0,389300000.0,3500000,ISRG,12/31/2010,257.75
330.61,43200000,31400000,8344000,162600000.0,495000000,2300000.0,150000000,11300000,152700000,205900000,4400000,5952000000.0,388100000.0,5300000,ISRG,3/31/2011,333.46
348.47,37500000,32000000,5861300,194200000.0,495000000,1000000.0,150000000,11200000,172400000,120700000,4300000,5952000000.0,425700000.0,4100000,ISRG,6/30/2011,372.11
382.4,43200000,35400000,8597300,196000000.0,495000000,-1700000.0,150000000,11500000,183300000,121300000,4400000,5952000000.0,446700000.0,1900000,ISRG,9/30/2011,364.28
424.67,45800000,41400000,5997100,197200000.0,495000000,-1200000.0,150000000,12500000,204200000,150600000,4700000,5952000000.0,496800000.0,3600000,ISRG,12/30/2011,463.01
510.12,49800000,38400000,5235600,210100000.0,495000000,500000.0,150000000,6300000,199100000,143500000,5800000,5952000000.0,495200000.0,3800000,ISRG,3/30/2012,541.75
